[vis1_REMs/EOGs]
  660.0649	    1.2604
  662.2727	    0.7409
  664.8268	    0.9574
  666.4719	    1.2171
  672.7056	    0.6544
  720.9740	    0.9574
  722.4459	    0.9574
  752.9654	    1.0873
  763.0519	    0.7409
  768.3766	    0.8275
  769.7619	    0.5678
  770.8874	    1.1305
  772.0996	    1.0873
  773.9177	    0.8708
  775.0433	    0.6111
 1027.5541	    3.2518
 1047.4242	    1.1305
 1078.2468	    0.8275
 1086.6450	    1.1305
 1115.9091	    0.6544
 1147.9870	    1.4336
 1150.7143	    2.0396
 1154.0909	    1.0007
 1156.5584	    0.9141
 1157.9004	    2.1262
 1161.4502	    1.6933
 1163.6580	    0.8708
 1231.9264	    1.3037
 1237.9004	    1.0440
 1239.4156	    1.4769
 1241.1905	    0.3946
 1267.2944	    1.2171
 1294.1342	    1.0440
 1300.7143	    0.9141
 1301.9697	    1.7799
 1307.9004	    2.6457
 1310.8874	    0.7409
 1314.2208	    0.8708
 1317.3377	    1.1305
 1318.8095	    1.0440
 1320.2814	    1.0440
 1322.1429	    1.1738
 1323.6580	    1.0007
 1337.5974	    0.9574
 1342.3160	    1.1305
 1344.7403	    1.5202
 1351.3203	    1.3037
 1355.2597	    1.0007
 1364.3074	    0.9574
 1366.8615	    1.3037
 1373.2251	    1.0440
 1387.5541	    0.7409
 1388.7229	    1.0440
 1390.1948	    1.0440
 1393.2684	    1.2604
 1397.1645	    1.2171
 1422.3160	    1.4769
 1424.5238	    0.5245
 1425.3030	    1.0873
 1430.3247	    0.6976
 1474.8701	    1.5202
 1594.1342	    1.6933
 1596.2121	    1.4336
 1685.5628	    1.4769
 1693.0087	    1.1305
 1694.4372	    0.9141
